area,price,Adress,floor,facade,road_in,car_parking,bedrooms,wc
70 ,26.5,", Quận Đống Đa",0,0,0,0,0,0
50 ,12.5,", Quận Thanh Xuân",0,0,0,0,0,0
55 ,23.0,", Quận Cầu Giấy",0,0,0,0,0,0
70 ,26.5,", Quận Đống Đa",0,0,0,0,0,0
50 ,12.5,", Quận Thanh Xuân",0,0,0,0,0,0
170 ,130.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
250 ,0.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
150 ,40.0,", Quận Tây Hồ",0,0,0,0,0,0
60 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
130 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
60 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
180 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
300 ,0.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
170 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
250 ,0.0,", Quận Tây Hồ",0,0,0,0,0,0
550 ,0.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
190 ,0.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
420 ,375.0,", Quận Cầu Giấy",0,0,0,0,0,0
60 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
80 ,0.0,"Phường Bạch Đằng, Quận Hai Bà Trưng",0,0,0,0,0,0
40 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
90 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
50 ,10.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
60 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
80 ,0.0,"Phường Bạch Đằng, Quận Hai Bà Trưng",0,0,0,0,0,0
40 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
90 ,0.0,", Quận Ba Đình",0,0,0,0,0,0
100 ,0.0,", Quận Cầu Giấy",0,0,0,0,0,0
420 ,375.0,", Quận Cầu Giấy",0,0,0,0,0,0
160 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
56 ,18.0,", Quận Thanh Xuân",0,0,0,0,0,0
150 ,0.0,", Quận Cầu Giấy",0,0,0,0,0,0
45 ,13.5,", Quận Ba Đình",0,0,0,0,0,0
55 ,15.0,", Quận Cầu Giấy",0,0,0,0,0,0
4000 ,4650.0,", Quận Hoàn Kiếm",0,0,0,0,0,0
190 ,120.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
150 ,185.0,", Quận Hai Bà Trưng",0,0,0,0,0,0
150 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
150 ,60.0,", Quận Đống Đa",0,0,0,0,0,0
50 ,13.6,", Quận Đống Đa",0,0,0,0,0,0
30 ,0.0,", Quận Đống Đa",0,0,0,0,0,0
90 ,40.0,", Quận Đống Đa",0,0,0,0,0,0
75 ,25.0,", Quận Đống Đa",0,0,0,0,0,0
200 ,45.0,", Quận Tây Hồ",0,0,0,0,0,0
40 ,12.0,", Quận Cầu Giấy",0,0,0,0,0,0
90 ,40.0,", Quận Đống Đa",0,0,0,0,0,0
57 ,10.0,"Phường Văn Quán, Quận Hà Đông",4,0,0,0,0,0
48 ,13.5,"Phường Khương Đình, Quận Thanh Xuân",6,0,0,0,0,0
60 ,11.0,"Phường Kiến Hưng, Quận Hà Đông",1,5,24,0,0,0
43 ,18.5,"Phường Dịch Vọng, Quận Cầu Giấy",4,35,30,0,0,0
164 ,27.6,"Phường Phúc Đồng, Quận Long Biên",0,0,0,0,0,0
110 ,2.6,"Xã Thạch Hòa, Huyện Thạch Thất",0,55,38,0,0,0
102 ,15.0,"Phường Phúc Đồng, Quận Long Biên",0,0,31,0,0,0
164 ,27.6,"Xã Đa Tốn, Huyện Gia Lâm",0,0,31,0,0,0
96 ,12.0,"Xã Đa Tốn, Huyện Gia Lâm",0,0,0,0,0,0
96 ,9.8,"Xã Đa Tốn, Huyện Gia Lâm",0,0,0,0,0,0
90 ,14.0,"Thị Trấn Trâu Quỳ, Huyện Gia Lâm",0,0,0,0,0,0
84 ,14.5,"Thị Trấn Trâu Quỳ, Huyện Gia Lâm",0,0,0,0,4,0
3290 ,950.0,"Phường Dịch Vọng Hậu, Quận Cầu Giấy",2,300,30,0,0,0
3300 ,950.0,"Phường Dịch Vọng, Quận Cầu Giấy",2,200,30,0,0,0
333 ,220.0,"Phường Dịch Vọng, Quận Cầu Giấy",2,40,30,0,0,0
1120 ,148.0,"Phường Khương Trung, Quận Thanh Xuân",2,100,20,4,3,2
280 ,210.0,"Phường Dịch Vọng, Quận Cầu Giấy",12,0,30,4,11,11
79 ,0.0,"Phường Văn Quán, Quận Hà Đông",0,0,0,0,0,0
107 ,44.5,"Phường Mỹ Đình 1, Quận Nam Từ Liêm",9,5,0,0,0,0
321 ,150.0,"Phường Quan Hoa, Quận Cầu Giấy",13,12,20,0,0,0
100 ,71.0,"Phường Dịch Vọng, Quận Cầu Giấy",9,71,20,0,0,0
118 ,27.0,"Phường Phú Diễn, Quận Bắc Từ Liêm",8,6,0,0,0,0
132 ,44.5,"Phường Mỹ Đình 1, Quận Nam Từ Liêm",9,5,20,0,0,0
58 ,48.0,"Phường Ngọc Khánh, Quận Ba Đình",7,52,30,0,0,0
140 ,48.0,"Phường Láng Thượng, Quận Đống Đa",4,62,20,0,0,0
50 ,35.0,"Phường Láng Thượng, Quận Đống Đa",6,56,20,0,0,0
53 ,27.9,"Phường Thụy Khuê, Quận Tây Hồ",6,55,20,0,0,0
66 ,23.0,"Phường Cống Vị, Quận Ba Đình",6,86,20,0,0,0
100 ,43.0,"Phường Thượng Đình, Quận Thanh Xuân",9,7,20,0,0,0
276 ,230.0,"Phường Bưởi, Quận Tây Hồ",7,91,20,0,0,0
52 ,24.5,"Phường Bưởi, Quận Tây Hồ",7,4,0,1,5,6
57 ,12.5,"Phường Khương Thượng, Quận Đống Đa",0,0,0,0,0,0
51 ,11.8,"Phường Khương Thượng, Quận Đống Đa",5,49,0,0,4,0
45 ,10.5,"Phường Quang Trung, Quận Đống Đa",4,41,8,2,4,5
48 ,19.0,"Phường Quang Trung, Quận Đống Đa",5,5,10,0,0,0
50 ,16.0,"Phường Mộ Lao, Quận Hà Đông",4,5,0,0,0,0
180 ,64.0,"Phường Yên Hòa, Quận Cầu Giấy",2,12,30,0,0,0
150 ,47.0,"Phường Mộ Lao, Quận Hà Đông",2,7,30,0,0,0
43 ,18.5,"Phường Dịch Vọng, Quận Cầu Giấy",4,3,25,4,4,3
50 ,13.0,"Phường Hà Cầu, Quận Hà Đông",6,5,12,3,3,6
75 ,13.0,"Phường Cầu Diễn, Quận Nam Từ Liêm",6,9,5,2,6,5
154 ,84.5,"Phường Quán Thánh, Quận Ba Đình",4,75,15,0,5,0
65 ,39.0,"Phường Dịch Vọng, Quận Cầu Giấy",0,0,0,0,0,0
290 ,68.5,"Phường Xuân Đỉnh, Quận Bắc Từ Liêm",1,12,11,4,11,11
612 ,160.0,"Phường Dịch Vọng, Quận Cầu Giấy",2,20,20,0,0,0
58 ,29.0,"Phường Quan Hoa, Quận Cầu Giấy",5,6,30,0,0,0
110 ,41.8,"Phường Dịch Vọng, Quận Cầu Giấy",8,4,21,0,11,11
45 ,8.86,"Phường Nguyễn Trãi, Quận Hà Đông",5,4,6,1,3,4
66 ,42.0,"Phường Ô Chợ Dừa, Quận Đống Đa",7,5,40,0,7,7
165 ,140.0,"Phường Nghĩa Đô, Quận Cầu Giấy",8,9,0,3,9,9
140 ,31.5,"Phường Cầu Diễn, Quận Nam Từ Liêm",0,0,0,0,0,0
80 ,25.95,"Phường Phương Liệt, Quận Thanh Xuân",6,5,20,2,10,6
90 ,25.0,"Phường Phương Liệt, Quận Thanh Xuân",7,5,15,0,0,0
30 ,3.15,"Phường Thanh Trì, Quận Hoàng Mai",5,10,8,4,3,4
60 ,10.4,"Phường Định Công, Quận Hoàng Mai",5,32,5,4,6,4
35 ,3.2,"Phường Hoàng Liệt, Quận Hoàng Mai",5,35,4,0,0,0
